sma_short,sma_long,test_cagr,test_sharpe,test_profit_factor,test_max_drawdown,test_num_trades,full_cagr,full_profit_factor
24,35,2.8069918868278885,-0.5776729833333588,0.2025239104351915,-0.3447807054912768,4,0.4953341688235473,3.9180544093390948
24,55,4.013430421448292,-0.6166415526308774,0.1924656606037225,-0.36721332042452826,4,0.6245019623965054,3.639778902490769
22,55,2.952243328133193,-0.6166415526308774,0.1924656606037225,-0.36721332042452837,4,0.512281231817419,3.401046238423444
24,45,3.590745806086513,-0.6248748113300474,0.1907373314230928,-0.33892181463128823,4,0.5820040061368141,3.4833526893551263
20,40,3.932984671757792,-0.6476972925143144,0.1840400995053678,-0.3447807054912768,4,0.6166121998367164,5.121229211369701
20,60,3.6285332404853365,-0.722562975576731,0.170242884982844,-0.36721332042452837,4,0.5859119721780097,3.7414057571915493
22,60,2.833180078918349,-0.7384527109232262,0.16732673107584112,-0.3703570441697579,4,0.49842264972301,3.3207377432894813
24,60,1.5969772657742363,-0.7384527109232262,0.16732673107584112,-0.3703570441697579,4,0.33273204596802586,2.435213361762827
12,35,12.541731372872224,-0.9516316154217758,0.11856226969041217,-0.31648106304601986,6,1.1907911160898985,5.8041387579555925
12,30,6.7932066536302385,-1.199582293781627,0.07262749570176621,-0.3676952412738149,7,0.8551567107001583,4.846550753686353
12,60,9.375908667779777,-1.1731063068132628,0.0,-0.40896545270845774,5,1.0220611038912857,5.840583388517302
10,60,14.199265242171247,-0.9757771991430519,0.0,-0.37147735335260634,5,1.2682670223767945,6.27704804996407
